image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
26_slice002_frame017	test	scaled_masks_TR	doubleTransferLearn	64381	0	74	0	689	15	15	36	326
28_slice008_frame016	test	scaled_masks_TR	doubleTransferLearn	63300	0	72	0	1426	0	25	92	621
27_slice001_frame016	test	scaled_masks_TR	doubleTransferLearn	64557	0	5	0	504	78	106	10	276
26_slice006_frame016	test	scaled_masks_TR	doubleTransferLearn	63400	0	28	0	1407	16	26	36	623
28_slice001_frame008	test	scaled_masks_TR	doubleTransferLearn	64827	0	67	0	135	0	22	74	411
28_slice005_frame001	test	scaled_masks_TR	doubleTransferLearn	63649	0	19	0	1192	42	85	21	528
27_slice001_frame002	test	scaled_masks_TR	doubleTransferLearn	64729	0	85	0	348	53	61	17	243
26_slice006_frame005	test	scaled_masks_TR	doubleTransferLearn	63500	0	45	0	1164	12	40	32	743
27_slice002_frame009	test	scaled_masks_TR	doubleTransferLearn	64567	0	2	0	501	78	101	0	287
27_slice010_frame018	test	scaled_masks_TR	doubleTransferLearn	63176	0	39	0	1543	14	43	42	679
27_slice007_frame005	test	scaled_masks_TR	doubleTransferLearn	63716	0	36	0	919	85	40	13	727
26_slice011_frame002	test	scaled_masks_TR	doubleTransferLearn	62875	0	40	0	1604	21	117	50	829
26_slice011_frame011	test	scaled_masks_TR	doubleTransferLearn	63444	0	59	0	883	1	75	97	977
26_slice004_frame008	test	scaled_masks_TR	doubleTransferLearn	64183	0	89	0	567	9	9	46	633
28_slice008_frame017	test	scaled_masks_TR	doubleTransferLearn	63213	0	16	0	1492	10	87	41	677
27_slice011_frame001	test	scaled_masks_TR	doubleTransferLearn	63432	0	3	28	913	385	483	6	286
28_slice012_frame016	test	scaled_masks_TR	doubleTransferLearn	63582	0	24	0	1227	57	43	12	591
28_slice008_frame013	test	scaled_masks_TR	doubleTransferLearn	63284	0	67	0	1450	16	60	65	594
28_slice014_frame001	test	scaled_masks_TR	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
26_slice011_frame005	test	scaled_masks_TR	doubleTransferLearn	63258	0	16	0	1217	30	57	55	903
28_slice004_frame019	test	scaled_masks_TR	doubleTransferLearn	63849	0	41	0	1023	33	97	36	457
28_slice011_frame003	test	scaled_masks_TR	doubleTransferLearn	63808	0	135	0	941	64	27	32	529
28_slice006_frame003	test	scaled_masks_TR	doubleTransferLearn	63538	0	33	0	1216	99	41	5	604
28_slice014_frame009	test	scaled_masks_TR	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice004_frame005	test	scaled_masks_TR	doubleTransferLearn	64140	0	100	0	667	48	1	6	574
26_slice012_frame005	test	scaled_masks_TR	doubleTransferLearn	63282	0	75	0	1278	48	95	13	745
27_slice005_frame002	test	scaled_masks_TR	doubleTransferLearn	63789	0	13	0	1065	24	36	27	582
26_slice002_frame002	test	scaled_masks_TR	doubleTransferLearn	64320	0	70	0	731	5	6	37	367
26_slice009_frame009	test	scaled_masks_TR	doubleTransferLearn	63511	0	211	0	894	2	1	80	837
