image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
26_slice002_frame017	test	scaled_masks	scaled_masks_TR	64293	0	41	31	704	112	131	0	224
28_slice008_frame016	test	scaled_masks	scaled_masks_TR	63340	0	161	0	1418	100	32	8	477
27_slice001_frame016	test	scaled_masks	scaled_masks_TR	64552	0	125	0	532	23	10	50	244
26_slice006_frame016	test	scaled_masks	scaled_masks_TR	63330	0	13	0	1391	36	98	32	636
28_slice001_frame008	test	scaled_masks	scaled_masks_TR	64827	0	22	0	132	37	67	3	448
28_slice005_frame001	test	scaled_masks	scaled_masks_TR	63660	0	104	0	1177	37	8	57	493
27_slice001_frame002	test	scaled_masks	scaled_masks_TR	64678	0	39	0	368	90	136	33	192
26_slice006_frame005	test	scaled_masks	scaled_masks_TR	63523	0	45	0	1116	24	22	60	746
27_slice002_frame009	test	scaled_masks	scaled_masks_TR	64569	0	136	0	180	0	0	399	252
27_slice010_frame018	test	scaled_masks	scaled_masks_TR	63200	0	97	0	1511	11	15	46	656
27_slice007_frame005	test	scaled_masks	scaled_masks_TR	63604	0	39	0	947	19	148	57	722
26_slice011_frame002	test	scaled_masks	scaled_masks_TR	62853	0	114	0	1586	34	62	39	848
26_slice011_frame011	test	scaled_masks	scaled_masks_TR	63413	0	64	0	867	29	90	17	1056
26_slice004_frame008	test	scaled_masks	scaled_masks_TR	64229	0	18	0	569	90	43	7	580
28_slice008_frame017	test	scaled_masks	scaled_masks_TR	63229	0	301	0	1462	41	0	40	463
27_slice011_frame001	test	scaled_masks	scaled_masks_TR	63402	0	264	0	1067	3	33	259	508
28_slice012_frame016	test	scaled_masks	scaled_masks_TR	63529	0	26	0	1221	3	77	63	617
28_slice008_frame013	test	scaled_masks	scaled_masks_TR	63335	0	168	0	1417	58	16	49	493
28_slice014_frame001	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice011_frame005	test	scaled_masks	scaled_masks_TR	63167	0	31	0	1209	87	107	38	897
28_slice004_frame019	test	scaled_masks	scaled_masks_TR	63877	0	166	0	979	11	13	77	413
28_slice011_frame003	test	scaled_masks	scaled_masks_TR	63838	0	34	0	954	64	105	51	490
28_slice006_frame003	test	scaled_masks	scaled_masks_TR	63565	0	121	0	1235	2	6	80	527
28_slice014_frame009	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
28_slice004_frame005	test	scaled_masks	scaled_masks_TR	64177	0	21	0	573	0	63	142	560
26_slice012_frame005	test	scaled_masks	scaled_masks_TR	63229	0	47	0	1254	37	128	72	769
27_slice005_frame002	test	scaled_masks	scaled_masks_TR	63759	0	31	0	1067	79	43	22	535
26_slice002_frame002	test	scaled_masks	scaled_masks_TR	64281	0	40	0	708	66	109	28	304
26_slice009_frame009	test	scaled_masks	scaled_masks_TR	63498	0	10	0	867	56	224	29	852
28_slice004_frame004	test	scaled_masks	scaled_masks_TR	64091	0	2	0	657	22	90	50	624
28_slice001_frame001	test	scaled_masks	scaled_masks_TR	64606	0	191	0	413	12	0	44	270
26_slice010_frame006	test	scaled_masks	scaled_masks_TR	63197	0	39	0	1155	248	122	0	775
26_slice014_frame009	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice001_frame007	test	scaled_masks	scaled_masks_TR	64762	0	29	0	197	2	63	88	395
27_slice008_frame006	test	scaled_masks	scaled_masks_TR	63760	0	124	0	826	20	10	72	724
28_slice010_frame016	test	scaled_masks	scaled_masks_TR	63255	0	275	0	1432	26	1	39	508
26_slice001_frame023	test	scaled_masks	scaled_masks_TR	64618	0	28	0	469	87	109	3	222
27_slice004_frame012	test	scaled_masks	scaled_masks_TR	63924	0	214	0	953	21	0	56	368
26_slice002_frame013	test	scaled_masks	scaled_masks_TR	64609	0	81	0	465	35	26	12	308
28_slice013_frame016	test	scaled_masks	scaled_masks_TR	63847	0	30	0	1019	17	84	27	512
26_slice004_frame011	test	scaled_masks	scaled_masks_TR	64214	0	50	0	709	35	27	13	488
