image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice008_frame000	train	scaled_masks	baseModel	63094	0	0	0	1488	133	214	0	607
42_slice014_frame010	val	scaled_masks	baseModel	62670	0	12	476	939	340	680	4	415
35_slice000_frame005	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
26_slice008_frame002	test	scaled_masks	baseModel	63056	0	3	0	1455	47	74	43	858
42_slice004_frame007	val	scaled_masks	baseModel	63954	0	18	0	585	67	333	178	401
28_slice010_frame006	test	scaled_masks	baseModel	63899	0	29	0	679	77	150	1	701
43_slice003_frame002	train	scaled_masks	baseModel	64119	0	4	0	514	19	378	117	385
23_slice005_frame000	train	scaled_masks	baseModel	64063	0	3	0	824	126	138	0	382
50_slice006_frame021	train	scaled_masks	baseModel	64198	0	31	0	698	76	66	2	465
53_slice011_frame010	train	scaled_masks	baseModel	63506	0	51	0	843	56	157	10	913
22_slice001_frame021	train	scaled_masks	baseModel	64986	0	0	300	0	0	249	0	1
43_slice016_frame014	train	scaled_masks	baseModel	63544	1196	796	0	0	0	0	0	0
23_slice016_frame000	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
28_slice003_frame008	test	scaled_masks	baseModel	64380	0	0	0	296	82	365	1	412
19_slice009_frame005	val	scaled_masks	baseModel	63205	0	0	0	794	134	493	11	899
35_slice007_frame003	val	scaled_masks	baseModel	63721	0	61	0	1028	94	123	26	483
26_slice005_frame001	test	scaled_masks	baseModel	63322	6	125	0	1323	58	48	79	575
28_slice005_frame003	test	scaled_masks	baseModel	63840	0	5	4	849	214	265	0	359
43_slice017_frame004	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
17_slice012_frame008	train	scaled_masks	baseModel	64450	0	5	73	455	258	88	0	207
26_slice005_frame015	test	scaled_masks	baseModel	63487	22	105	0	1217	65	64	100	476
50_slice000_frame019	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
53_slice001_frame024	train	scaled_masks	baseModel	64428	0	7	46	489	66	258	1	241
51_slice011_frame020	train	scaled_masks	baseModel	63626	0	2	59	970	166	125	0	588
22_slice011_frame022	train	scaled_masks	baseModel	63582	0	15	0	1236	123	65	7	508
21_slice005_frame008	train	scaled_masks	baseModel	64214	0	2	0	613	128	186	0	393
22_slice009_frame022	train	scaled_masks	baseModel	63686	0	53	4	1214	152	68	7	352
35_slice010_frame023	val	scaled_masks	baseModel	63529	0	54	6	1204	212	58	0	473
19_slice011_frame002	val	scaled_masks	baseModel	62919	0	6	0	1320	110	180	40	961
35_slice001_frame023	val	scaled_masks	baseModel	65281	0	0	122	0	0	133	0	0
30_slice005_frame014	val	scaled_masks	baseModel	64260	0	0	31	637	151	237	0	220
30_slice004_frame003	val	scaled_masks	baseModel	64489	0	2	0	483	103	145	15	299
28_slice012_frame013	test	scaled_masks	baseModel	63700	0	6	0	1013	63	179	3	572
50_slice014_frame015	train	scaled_masks	baseModel	63702	0	24	0	835	98	111	1	765
22_slice002_frame007	train	scaled_masks	baseModel	64951	0	5	15	125	95	148	0	197
17_slice000_frame013	train	scaled_masks	baseModel	65025	0	0	274	0	0	235	0	2
30_slice012_frame016	val	scaled_masks	baseModel	63683	0	1	3	883	371	240	0	355
35_slice009_frame023	val	scaled_masks	baseModel	63675	0	83	0	1157	94	10	8	509
50_slice013_frame022	train	scaled_masks	baseModel	63509	0	5	0	1111	102	54	0	755
43_slice012_frame010	train	scaled_masks	baseModel	62854	0	2	0	1519	97	186	29	849
51_slice004_frame009	train	scaled_masks	baseModel	64409	0	8	0	384	33	73	12	617
35_slice003_frame009	val	scaled_masks	baseModel	64973	0	0	16	65	59	345	0	78
19_slice006_frame015	val	scaled_masks	baseModel	63592	0	73	0	1099	81	76	10	605
51_slice009_frame022	train	scaled_masks	baseModel	63547	0	8	0	1202	115	87	2	575
50_slice012_frame010	train	scaled_masks	baseModel	63965	0	75	0	435	177	52	0	832
53_slice004_frame023	train	scaled_masks	baseModel	63771	0	1	0	973	141	127	3	520
19_slice002_frame012	val	scaled_masks	baseModel	64597	0	9	0	459	25	100	57	289
43_slice017_frame014	train	scaled_masks	baseModel	64651	591	294	0	0	0	0	0	0
44_slice001_frame012	train	scaled_masks	baseModel	65187	0	3	154	0	0	192	0	0
21_slice005_frame007	train	scaled_masks	baseModel	64193	0	14	0	498	61	199	0	571
35_slice012_frame024	val	scaled_masks	baseModel	63407	0	25	11	1175	261	163	2	492
26_slice001_frame000	test	scaled_masks	baseModel	64572	0	4	0	442	19	141	18	340
32_slice012_frame014	train	scaled_masks	baseModel	63498	0	31	0	1219	155	57	4	572
21_slice014_frame000	train	scaled_masks	baseModel	63861	0	3	0	804	213	221	5	429
44_slice003_frame003	train	scaled_masks	baseModel	64541	0	24	0	352	35	73	2	509
44_slice004_frame019	train	scaled_masks	baseModel	64092	0	2	0	691	136	244	0	371
21_slice001_frame007	train	scaled_masks	baseModel	65102	0	0	0	0	0	434	0	0
35_slice009_frame002	val	scaled_masks	baseModel	63660	0	22	0	1051	185	112	0	506
55_slice005_frame020	train	scaled_masks	baseModel	63656	0	36	0	1085	58	32	10	659
28_slice008_frame019	test	scaled_masks	baseModel	63412	0	40	28	1267	98	76	40	575
