image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice006_frame005	train	scaled_masks	doubleTransferLearn_esed	63607	0	66	0	998	6	11	50	798
44_slice010_frame013	train	scaled_masks	doubleTransferLearn_esed	63586	0	15	0	1340	46	68	8	473
55_slice006_frame024	train	scaled_masks	doubleTransferLearn_esed	63473	0	48	0	1358	4	13	23	617
42_slice000_frame006	val	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
17_slice009_frame015	train	scaled_masks	doubleTransferLearn_esed	63456	0	27	0	1362	17	71	20	583
17_slice009_frame018	train	scaled_masks	doubleTransferLearn_esed	63464	0	22	0	1374	53	58	8	557
21_slice009_frame003	train	scaled_masks	doubleTransferLearn_esed	63555	0	13	0	1058	12	52	59	787
31_slice010_frame001	train	scaled_masks	doubleTransferLearn_esed	63558	0	18	0	1095	1	41	233	590
44_slice014_frame011	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
51_slice013_frame011	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
50_slice007_frame017	train	scaled_masks	doubleTransferLearn_esed	63925	0	50	0	911	14	12	23	601
20_slice008_frame020	train	scaled_masks	doubleTransferLearn_esed	63423	0	28	0	1365	4	46	34	636
21_slice013_frame001	train	scaled_masks	doubleTransferLearn_esed	63682	0	67	0	1082	2	34	101	568
30_slice009_frame024	val	scaled_masks	doubleTransferLearn_esed	63521	0	3	0	1297	121	112	1	481
51_slice002_frame023	train	scaled_masks	doubleTransferLearn_esed	64610	0	91	0	511	3	3	54	264
20_slice000_frame004	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
50_slice004_frame014	train	scaled_masks	doubleTransferLearn_esed	64615	0	34	0	500	4	23	17	343
55_slice014_frame002	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
31_slice004_frame001	train	scaled_masks	doubleTransferLearn_esed	64229	0	40	0	807	28	114	47	271
51_slice007_frame004	train	scaled_masks	doubleTransferLearn_esed	63801	0	61	0	1050	29	16	18	561
19_slice006_frame016	val	scaled_masks	doubleTransferLearn_esed	63626	0	55	0	1159	31	9	37	619
36_slice003_frame011	val	scaled_masks	doubleTransferLearn_esed	64491	0	22	0	384	74	46	0	519
30_slice006_frame007	val	scaled_masks	doubleTransferLearn_esed	64042	0	111	0	904	13	12	62	392
55_slice012_frame009	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
55_slice008_frame021	train	scaled_masks	doubleTransferLearn_esed	63477	0	92	0	1202	9	9	29	718
27_slice007_frame003	test	scaled_masks	doubleTransferLearn_esed	63483	0	22	0	1147	12	99	87	686
50_slice009_frame011	train	scaled_masks	doubleTransferLearn_esed	63877	0	42	0	599	30	24	9	955
42_slice004_frame006	val	scaled_masks	doubleTransferLearn_esed	63912	0	16	0	556	41	105	25	881
35_slice001_frame002	val	scaled_masks	doubleTransferLearn_esed	65126	2	146	0	149	2	0	67	44
