image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice008_frame000	train	scaled_masks	doubleTransferLearn	63073	0	21	0	1602	19	26	22	773
42_slice014_frame010	val	scaled_masks	doubleTransferLearn	62618	0	64	0	1745	10	62	57	980
35_slice000_frame005	val	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
26_slice008_frame002	test	scaled_masks	doubleTransferLearn	63033	0	26	0	1501	1	38	150	787
42_slice004_frame007	val	scaled_masks	doubleTransferLearn	63914	0	58	0	626	26	123	88	701
28_slice010_frame006	test	scaled_masks	doubleTransferLearn	63885	0	43	0	737	19	71	45	736
43_slice003_frame002	train	scaled_masks	doubleTransferLearn	64079	0	44	0	524	9	92	92	696
23_slice005_frame000	train	scaled_masks	doubleTransferLearn	64017	0	49	0	942	8	4	32	484
50_slice006_frame021	train	scaled_masks	doubleTransferLearn	64182	0	47	0	754	20	32	30	471
53_slice011_frame010	train	scaled_masks	doubleTransferLearn	63527	0	30	0	897	2	29	56	995
22_slice001_frame021	train	scaled_masks	doubleTransferLearn	64985	0	1	0	253	47	55	0	195
43_slice016_frame014	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
23_slice016_frame000	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice003_frame008	test	scaled_masks	doubleTransferLearn	64361	0	19	0	369	9	95	66	617
19_slice009_frame005	val	scaled_masks	doubleTransferLearn	63162	0	43	0	907	21	61	44	1298
35_slice007_frame003	val	scaled_masks	doubleTransferLearn	63668	0	114	0	1104	18	0	42	590
26_slice005_frame001	test	scaled_masks	doubleTransferLearn	63408	0	45	0	1371	10	39	78	585
28_slice005_frame003	test	scaled_masks	doubleTransferLearn	63776	0	69	0	1049	18	8	34	582
43_slice017_frame004	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
17_slice012_frame008	train	scaled_masks	doubleTransferLearn	64395	0	60	0	746	40	2	16	277
26_slice005_frame015	test	scaled_masks	doubleTransferLearn	63541	0	73	0	1269	13	49	80	511
50_slice000_frame019	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
