image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice008_frame000	train	scaled_masks	imagenetTransferLearn	63072	0	22	0	1604	17	35	25	761
42_slice014_frame010	val	scaled_masks	imagenetTransferLearn	62632	0	50	0	1754	1	72	82	945
35_slice000_frame005	val	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
26_slice008_frame002	test	scaled_masks	imagenetTransferLearn	63027	0	32	0	1500	2	31	153	791
42_slice004_frame007	val	scaled_masks	imagenetTransferLearn	63920	0	52	0	638	14	115	140	657
28_slice010_frame006	test	scaled_masks	imagenetTransferLearn	63863	0	65	0	746	10	60	71	721
43_slice003_frame002	train	scaled_masks	imagenetTransferLearn	64091	0	32	0	532	1	107	151	622
23_slice005_frame000	train	scaled_masks	imagenetTransferLearn	63990	0	76	0	948	2	9	44	467
50_slice006_frame021	train	scaled_masks	imagenetTransferLearn	64173	0	56	0	757	17	16	30	487
53_slice011_frame010	train	scaled_masks	imagenetTransferLearn	63517	0	40	0	897	2	12	45	1023
22_slice001_frame021	train	scaled_masks	imagenetTransferLearn	64975	0	11	1	246	53	69	7	174
43_slice016_frame014	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
23_slice016_frame000	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice003_frame008	test	scaled_masks	imagenetTransferLearn	64368	0	12	0	371	7	96	54	628
19_slice009_frame005	val	scaled_masks	imagenetTransferLearn	63162	0	43	0	894	34	86	73	1244
35_slice007_frame003	val	scaled_masks	imagenetTransferLearn	63638	0	144	0	1120	2	0	75	557
26_slice005_frame001	test	scaled_masks	imagenetTransferLearn	63369	0	84	0	1368	13	19	96	587
28_slice005_frame003	test	scaled_masks	imagenetTransferLearn	63754	0	91	0	1048	19	17	48	559
43_slice017_frame004	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
17_slice012_frame008	train	scaled_masks	imagenetTransferLearn	64363	7	85	2	749	35	15	58	222
26_slice005_frame015	test	scaled_masks	imagenetTransferLearn	63489	0	125	0	1271	11	23	85	532
50_slice000_frame019	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
53_slice001_frame024	train	scaled_masks	imagenetTransferLearn	64395	0	40	0	587	14	21	44	435
51_slice011_frame020	train	scaled_masks	imagenetTransferLearn	63561	0	67	0	1195	0	12	97	604
22_slice011_frame022	train	scaled_masks	imagenetTransferLearn	63543	0	54	0	1338	21	19	51	510
21_slice005_frame008	train	scaled_masks	imagenetTransferLearn	64185	0	31	0	705	36	32	26	521
22_slice009_frame022	train	scaled_masks	imagenetTransferLearn	63621	0	118	0	1342	28	3	21	403
35_slice010_frame023	val	scaled_masks	imagenetTransferLearn	63417	0	166	0	1350	72	3	24	504
19_slice011_frame002	val	scaled_masks	imagenetTransferLearn	62885	0	40	0	1414	16	86	104	991
35_slice001_frame023	val	scaled_masks	imagenetTransferLearn	65233	0	48	33	44	45	63	12	58
30_slice005_frame014	val	scaled_masks	imagenetTransferLearn	64214	0	46	0	766	53	17	16	424
30_slice004_frame003	val	scaled_masks	imagenetTransferLearn	64419	0	72	0	536	50	5	37	417
28_slice012_frame013	test	scaled_masks	imagenetTransferLearn	63691	0	15	0	1067	9	81	63	610
50_slice014_frame015	train	scaled_masks	imagenetTransferLearn	63646	0	80	0	921	12	12	47	818
22_slice002_frame007	train	scaled_masks	imagenetTransferLearn	64938	0	18	0	206	29	21	4	320
17_slice000_frame013	train	scaled_masks	imagenetTransferLearn	64975	0	50	0	234	40	65	36	136
30_slice012_frame016	val	scaled_masks	imagenetTransferLearn	63590	0	94	0	1213	44	7	7	581
35_slice009_frame023	val	scaled_masks	imagenetTransferLearn	63560	0	198	0	1219	32	0	45	482
50_slice013_frame022	train	scaled_masks	imagenetTransferLearn	63437	0	77	0	1195	18	8	49	752
43_slice012_frame010	train	scaled_masks	imagenetTransferLearn	62802	0	54	0	1606	10	45	93	926
51_slice004_frame009	train	scaled_masks	imagenetTransferLearn	64351	0	66	0	409	8	11	68	623
35_slice003_frame009	val	scaled_masks	imagenetTransferLearn	64902	0	71	0	133	7	103	77	243
19_slice006_frame015	val	scaled_masks	imagenetTransferLearn	63571	0	94	0	1171	9	22	35	634
51_slice009_frame022	train	scaled_masks	imagenetTransferLearn	63496	0	59	0	1299	18	29	31	604
50_slice012_frame010	train	scaled_masks	imagenetTransferLearn	63949	0	91	0	507	105	9	0	875
53_slice004_frame023	train	scaled_masks	imagenetTransferLearn	63692	0	80	0	1097	17	5	38	607
19_slice002_frame012	val	scaled_masks	imagenetTransferLearn	64564	0	42	0	455	29	36	9	401
43_slice017_frame014	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
44_slice001_frame012	train	scaled_masks	imagenetTransferLearn	65115	0	75	0	154	0	0	50	142
21_slice005_frame007	train	scaled_masks	imagenetTransferLearn	64175	0	32	0	553	6	37	49	684
35_slice012_frame024	val	scaled_masks	imagenetTransferLearn	63341	0	91	0	1389	58	29	30	598
