image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
53_slice008_frame000	train	scaled_masks	plainLearn	63045	0	49	0	1610	11	37	42	742
42_slice014_frame010	val	scaled_masks	plainLearn	62622	0	60	0	1730	25	118	52	929
35_slice000_frame005	val	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
26_slice008_frame002	test	scaled_masks	plainLearn	63022	0	37	0	1501	1	30	140	805
42_slice004_frame007	val	scaled_masks	plainLearn	63911	0	61	0	629	23	169	97	646
28_slice010_frame006	test	scaled_masks	plainLearn	63860	0	68	0	748	8	28	109	715
43_slice003_frame002	train	scaled_masks	plainLearn	64100	0	23	0	527	6	157	138	585
23_slice005_frame000	train	scaled_masks	plainLearn	64013	0	53	0	945	5	13	30	477
50_slice006_frame021	train	scaled_masks	plainLearn	64140	0	89	0	759	15	15	20	498
53_slice011_frame010	train	scaled_masks	plainLearn	63505	0	52	0	899	0	34	94	952
22_slice001_frame021	train	scaled_masks	plainLearn	64981	0	5	0	237	63	80	2	168
43_slice016_frame014	train	scaled_masks	plainLearn	64839	310	387	0	0	0	0	0	0
23_slice016_frame000	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
28_slice003_frame008	test	scaled_masks	plainLearn	64361	0	19	0	372	6	128	90	560
19_slice009_frame005	val	scaled_masks	plainLearn	63147	0	58	0	926	2	93	114	1196
35_slice007_frame003	val	scaled_masks	plainLearn	63700	0	82	0	1082	40	17	45	570
26_slice005_frame001	test	scaled_masks	plainLearn	63352	0	101	0	1377	4	9	89	604
28_slice005_frame003	test	scaled_masks	plainLearn	63757	0	88	0	1054	13	10	47	567
43_slice017_frame004	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
17_slice012_frame008	train	scaled_masks	plainLearn	64380	0	75	6	728	52	18	27	250
26_slice005_frame015	test	scaled_masks	plainLearn	63486	0	128	0	1268	14	23	78	539
50_slice000_frame019	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
53_slice001_frame024	train	scaled_masks	plainLearn	64390	0	45	0	566	35	47	39	414
51_slice011_frame020	train	scaled_masks	plainLearn	63502	0	126	0	1194	1	0	106	607
22_slice011_frame022	train	scaled_masks	plainLearn	63550	0	47	0	1349	10	4	55	521
21_slice005_frame008	train	scaled_masks	plainLearn	64185	0	31	0	706	35	20	31	528
22_slice009_frame022	train	scaled_masks	plainLearn	63647	0	92	0	1308	62	18	14	395
35_slice010_frame023	val	scaled_masks	plainLearn	63426	0	157	0	1368	54	8	27	496
19_slice011_frame002	val	scaled_masks	plainLearn	62862	0	63	0	1420	10	76	110	995
35_slice001_frame023	val	scaled_masks	plainLearn	65109	5	167	0	97	25	2	45	86
30_slice005_frame014	val	scaled_masks	plainLearn	64219	0	41	0	756	63	16	24	417
30_slice004_frame003	val	scaled_masks	plainLearn	64388	0	103	0	555	31	14	32	413
28_slice012_frame013	test	scaled_masks	plainLearn	63675	0	31	0	1068	8	28	111	615
50_slice014_frame015	train	scaled_masks	plainLearn	63673	0	53	0	923	10	41	59	777
22_slice002_frame007	train	scaled_masks	plainLearn	64932	0	24	0	184	51	25	0	320
17_slice000_frame013	train	scaled_masks	plainLearn	64957	0	68	0	201	73	96	26	115
30_slice012_frame016	val	scaled_masks	plainLearn	63619	0	65	0	1199	58	29	16	550
35_slice009_frame023	val	scaled_masks	plainLearn	63546	0	212	0	1239	12	0	59	468
50_slice013_frame022	train	scaled_masks	plainLearn	63440	0	74	0	1196	17	11	38	760
43_slice012_frame010	train	scaled_masks	plainLearn	62783	0	73	0	1604	12	40	86	938
51_slice004_frame009	train	scaled_masks	plainLearn	64367	0	50	0	409	8	15	58	629
35_slice003_frame009	val	scaled_masks	plainLearn	64825	0	148	0	139	1	26	144	253
19_slice006_frame015	val	scaled_masks	plainLearn	63546	0	119	0	1167	13	17	31	643
51_slice009_frame022	train	scaled_masks	plainLearn	63484	0	71	0	1296	21	30	36	598
50_slice012_frame010	train	scaled_masks	plainLearn	63955	0	85	0	574	38	15	10	859
53_slice004_frame023	train	scaled_masks	plainLearn	63708	0	64	0	1087	27	15	41	594
19_slice002_frame012	val	scaled_masks	plainLearn	64512	0	94	0	481	3	1	36	409
43_slice017_frame014	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
44_slice001_frame012	train	scaled_masks	plainLearn	65077	0	113	0	154	0	0	82	110
21_slice005_frame007	train	scaled_masks	plainLearn	64191	0	16	0	555	4	70	45	655
35_slice012_frame024	val	scaled_masks	plainLearn	63332	0	100	0	1416	31	20	26	611
26_slice001_frame000	test	scaled_masks	plainLearn	64557	0	19	0	461	0	49	89	361
32_slice012_frame014	train	scaled_masks	plainLearn	63387	0	142	0	1326	48	0	52	581
21_slice014_frame000	train	scaled_masks	plainLearn	63834	0	30	0	1004	13	66	50	539
44_slice003_frame003	train	scaled_masks	plainLearn	64509	0	56	0	386	1	5	73	506
44_slice004_frame019	train	scaled_masks	plainLearn	64080	0	14	0	805	22	109	9	497
21_slice001_frame007	train	scaled_masks	plainLearn	65091	0	11	0	0	0	59	87	288
35_slice009_frame002	val	scaled_masks	plainLearn	63569	0	113	0	1177	59	16	34	568
55_slice005_frame020	train	scaled_masks	plainLearn	63582	0	110	0	1142	1	10	86	605
28_slice008_frame019	test	scaled_masks	plainLearn	63241	0	211	0	1390	3	4	189	498
55_slice015_frame015	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
51_slice005_frame021	train	scaled_masks	plainLearn	64030	0	51	0	917	22	23	37	456
30_slice005_frame018	val	scaled_masks	plainLearn	64110	0	50	0	907	53	21	15	380
35_slice015_frame024	val	scaled_masks	plainLearn	63805	0	98	21	1007	18	78	104	405
36_slice009_frame007	val	scaled_masks	plainLearn	63946	0	107	0	833	10	2	53	585
42_slice016_frame006	val	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
27_slice003_frame016	test	scaled_masks	plainLearn	64323	0	89	0	755	31	4	25	309
28_slice011_frame015	test	scaled_masks	plainLearn	63473	0	147	0	1313	62	10	47	484
22_slice004_frame005	train	scaled_masks	plainLearn	64515	0	41	0	456	24	12	37	451
51_slice001_frame008	train	scaled_masks	plainLearn	65032	0	33	0	158	40	23	6	244
51_slice005_frame018	train	scaled_masks	plainLearn	64025	0	94	0	920	5	13	50	429
30_slice007_frame007	val	scaled_masks	plainLearn	64069	0	64	0	607	62	67	67	600
53_slice004_frame024	train	scaled_masks	plainLearn	63662	0	27	0	1116	58	59	14	600
26_slice011_frame001	test	scaled_masks	plainLearn	62793	0	24	0	1671	32	69	67	880
23_slice004_frame015	train	scaled_masks	plainLearn	64271	0	52	0	675	9	14	58	457
19_slice004_frame010	val	scaled_masks	plainLearn	64085	0	79	0	832	17	5	8	510
42_slice012_frame011	val	scaled_masks	plainLearn	62259	0	19	0	1975	108	247	31	897
32_slice007_frame011	train	scaled_masks	plainLearn	63465	0	128	0	1323	20	29	53	518
