image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
43_slice001_frame003	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
44_slice013_frame004	train	scaled_masks	ukbb_preds_3class	65316	0	220	0	0	0	0	0	0
30_slice006_frame014	val	scaled_masks	ukbb_preds_3class	64266	0	2	717	37	45	444	0	25
55_slice011_frame002	train	scaled_masks	ukbb_preds_3class	65506	0	30	0	0	0	0	0	0
36_slice013_frame019	val	scaled_masks	ukbb_preds_3class	64227	0	35	1	815	40	52	20	346
19_slice008_frame004	val	scaled_masks	ukbb_preds_3class	63404	0	9	953	36	1	986	2	145
42_slice001_frame000	val	scaled_masks	ukbb_preds_3class	64345	0	0	563	0	0	628	0	0
17_slice000_frame003	train	scaled_masks	ukbb_preds_3class	64847	0	0	160	0	0	529	0	0
50_slice015_frame012	train	scaled_masks	ukbb_preds_3class	64539	485	512	0	0	0	0	0	0
44_slice009_frame007	train	scaled_masks	ukbb_preds_3class	63983	0	123	25	674	14	235	54	428
27_slice003_frame009	test	scaled_masks	ukbb_preds_3class	64408	0	0	471	1	0	654	0	2
19_slice000_frame015	val	scaled_masks	ukbb_preds_3class	65469	0	67	0	0	0	0	0	0
52_slice006_frame003	train	scaled_masks	ukbb_preds_3class	63587	0	84	8	1084	113	203	18	439
20_slice001_frame023	train	scaled_masks	ukbb_preds_3class	64789	0	0	381	0	0	366	0	0
55_slice007_frame003	train	scaled_masks	ukbb_preds_3class	63623	0	66	0	947	49	59	30	762
23_slice012_frame002	train	scaled_masks	ukbb_preds_3class	63357	0	16	409	947	28	368	51	360
30_slice004_frame000	val	scaled_masks	ukbb_preds_3class	64376	0	0	691	0	0	469	0	0
44_slice003_frame008	train	scaled_masks	ukbb_preds_3class	64680	0	0	471	14	0	356	10	5
17_slice012_frame014	train	scaled_masks	ukbb_preds_3class	63756	0	75	7	934	90	135	17	522
50_slice010_frame006	train	scaled_masks	ukbb_preds_3class	63858	0	1	83	504	58	502	17	513
53_slice003_frame003	train	scaled_masks	ukbb_preds_3class	64036	0	2	662	79	24	592	6	135
51_slice003_frame023	train	scaled_masks	ukbb_preds_3class	64423	0	25	171	499	71	172	6	169
35_slice005_frame017	val	scaled_masks	ukbb_preds_3class	64384	2	83	373	299	13	204	67	111
32_slice005_frame003	train	scaled_masks	ukbb_preds_3class	64082	0	0	702	0	0	751	0	1
26_slice003_frame023	test	scaled_masks	ukbb_preds_3class	64028	0	24	142	793	103	192	5	249
42_slice016_frame017	val	scaled_masks	ukbb_preds_3class	63132	0	0	1629	0	0	775	0	0
32_slice012_frame008	train	scaled_masks	ukbb_preds_3class	64052	8	219	20	691	64	28	76	378
19_slice010_frame013	val	scaled_masks	ukbb_preds_3class	62842	0	104	48	1449	75	446	38	534
42_slice010_frame012	val	scaled_masks	ukbb_preds_3class	62446	0	24	728	1280	115	694	1	248
31_slice006_frame015	train	scaled_masks	ukbb_preds_3class	64107	0	49	450	487	89	219	18	117
23_slice012_frame004	train	scaled_masks	ukbb_preds_3class	63655	0	48	72	856	84	274	34	513
22_slice004_frame000	train	scaled_masks	ukbb_preds_3class	64428	0	25	197	479	66	137	7	197
27_slice006_frame007	test	scaled_masks	ukbb_preds_3class	63930	0	1	651	185	0	577	82	110
23_slice013_frame015	train	scaled_masks	ukbb_preds_3class	63353	0	61	199	1155	33	219	8	508
26_slice011_frame006	test	scaled_masks	ukbb_preds_3class	63225	0	5	516	502	219	710	25	334
26_slice002_frame001	test	scaled_masks	ukbb_preds_3class	64222	0	30	186	545	38	204	22	289
35_slice008_frame009	val	scaled_masks	ukbb_preds_3class	63952	0	3	0	644	113	333	2	489
51_slice002_frame023	train	scaled_masks	ukbb_preds_3class	64686	0	15	376	113	25	202	4	115
22_slice008_frame024	train	scaled_masks	ukbb_preds_3class	63721	0	104	0	1156	100	57	44	354
43_slice005_frame015	train	scaled_masks	ukbb_preds_3class	63694	0	54	9	1026	142	124	13	474
22_slice013_frame016	train	scaled_masks	ukbb_preds_3class	63626	0	62	0	1151	43	48	24	582
51_slice001_frame006	train	scaled_masks	ukbb_preds_3class	65054	0	0	211	0	0	271	0	0
44_slice012_frame014	train	scaled_masks	ukbb_preds_3class	63748	0	68	66	1017	79	141	26	391
27_slice011_frame019	test	scaled_masks	ukbb_preds_3class	63442	0	16	938	410	22	556	36	116
36_slice011_frame001	val	scaled_masks	ukbb_preds_3class	63768	0	79	0	1031	102	69	32	455
17_slice003_frame007	train	scaled_masks	ukbb_preds_3class	64450	0	44	411	67	16	385	0	163
43_slice005_frame018	train	scaled_masks	ukbb_preds_3class	63721	0	31	179	875	71	265	15	379
17_slice013_frame016	train	scaled_masks	ukbb_preds_3class	64061	0	57	62	754	106	227	19	250
17_slice008_frame014	train	scaled_masks	ukbb_preds_3class	63407	0	62	0	1216	167	129	9	546
21_slice006_frame002	train	scaled_masks	ukbb_preds_3class	63599	0	16	170	794	92	385	34	446
55_slice006_frame024	train	scaled_masks	ukbb_preds_3class	63433	0	88	0	1234	128	64	1	588
22_slice004_frame024	train	scaled_masks	ukbb_preds_3class	64414	0	13	575	60	15	302	12	145
20_slice009_frame016	train	scaled_masks	ukbb_preds_3class	63407	0	64	0	1306	132	75	2	550
53_slice009_frame016	train	scaled_masks	ukbb_preds_3class	63190	0	64	361	1057	63	490	9	302
53_slice007_frame001	train	scaled_masks	ukbb_preds_3class	63205	0	0	1273	200	18	795	3	42
23_slice011_frame000	train	scaled_masks	ukbb_preds_3class	63180	0	26	454	1036	62	362	16	400
52_slice012_frame004	train	scaled_masks	ukbb_preds_3class	63448	0	42	0	1016	257	200	0	573
