source	set	file	bg	lv	my
7T	masks	17_slice000_frame000-mask.png	239041	1314	1309
7T	masks	17_slice000_frame001-mask.png	239075	1166	1423
7T	masks	17_slice000_frame002-mask.png	238760	1232	1672
7T	masks	17_slice000_frame003-mask.png	238860	653	2151
7T	masks	17_slice000_frame004-mask.png	239255	401	2008
7T	masks	17_slice000_frame005-mask.png	239632	494	1538
7T	masks	17_slice000_frame006-mask.png	240200	223	1241
7T	masks	17_slice000_frame007-mask.png	240477	149	1038
7T	masks	17_slice000_frame008-mask.png	240551	179	934
7T	masks	17_slice000_frame009-mask.png	240197	235	1232
7T	masks	17_slice000_frame010-mask.png	239562	0	2102
7T	masks	17_slice000_frame011-mask.png	239469	689	1506
7T	masks	17_slice000_frame012-mask.png	239274	1058	1332
7T	masks	17_slice000_frame013-mask.png	239574	1128	962
7T	masks	17_slice000_frame014-mask.png	239157	1371	1136
7T	masks	17_slice000_frame015-mask.png	239741	946	977
7T	masks	17_slice000_frame016-mask.png	239439	1074	1151
7T	masks	17_slice000_frame017-mask.png	239391	723	1550
7T	masks	17_slice000_frame018-mask.png	239658	792	1214
7T	masks	17_slice000_frame019-mask.png	239545	853	1266
7T	masks	17_slice000_frame020-mask.png	239472	967	1225
7T	masks	17_slice000_frame021-mask.png	239605	1089	970
7T	masks	17_slice000_frame022-mask.png	239262	1113	1289
7T	masks	17_slice000_frame023-mask.png	239182	1369	1113
7T	masks	17_slice000_frame024-mask.png	239136	1474	1054
7T	masks	17_slice001_frame000-mask.png	238801	1547	1316
7T	masks	17_slice001_frame001-mask.png	238273	1776	1615
7T	masks	17_slice001_frame002-mask.png	238096	1890	1678
7T	masks	17_slice001_frame003-mask.png	238309	1602	1753
7T	masks	17_slice001_frame004-mask.png	238467	1232	1965
7T	masks	17_slice001_frame005-mask.png	239042	1036	1586
7T	masks	17_slice001_frame006-mask.png	239373	759	1532
7T	masks	17_slice001_frame007-mask.png	239490	698	1476
7T	masks	17_slice001_frame008-mask.png	239840	764	1060
7T	masks	17_slice001_frame009-mask.png	239620	568	1476
7T	masks	17_slice001_frame010-mask.png	239312	724	1628
7T	masks	17_slice001_frame011-mask.png	239022	1116	1526
7T	masks	17_slice001_frame012-mask.png	239276	1295	1093
7T	masks	17_slice001_frame013-mask.png	238990	1576	1098
7T	masks	17_slice001_frame014-mask.png	238926	1478	1260
7T	masks	17_slice001_frame015-mask.png	238937	1571	1156
7T	masks	17_slice001_frame016-mask.png	238889	1554	1221
7T	masks	17_slice001_frame017-mask.png	238904	1207	1553
7T	masks	17_slice001_frame018-mask.png	238918	1130	1616
7T	masks	17_slice001_frame019-mask.png	239055	1232	1377
7T	masks	17_slice001_frame020-mask.png	239230	1070	1364
7T	masks	17_slice001_frame021-mask.png	238966	1350	1348
7T	masks	17_slice001_frame022-mask.png	238999	1338	1327
7T	masks	17_slice001_frame023-mask.png	238918	1305	1441
7T	masks	17_slice001_frame024-mask.png	238923	1535	1206
7T	masks	17_slice002_frame000-mask.png	237803	2354	1507
7T	masks	17_slice002_frame001-mask.png	237550	2297	1817
7T	masks	17_slice002_frame002-mask.png	237429	2544	1691
7T	masks	17_slice002_frame003-mask.png	237527	2063	2074
7T	masks	17_slice002_frame004-mask.png	237823	1719	2122
7T	masks	17_slice002_frame005-mask.png	238127	1464	2073
7T	masks	17_slice002_frame006-mask.png	238336	1291	2037
7T	masks	17_slice002_frame007-mask.png	238411	1151	2102
7T	masks	17_slice002_frame008-mask.png	238550	940	2174
7T	masks	17_slice002_frame009-mask.png	238490	909	2265
7T	masks	17_slice002_frame010-mask.png	238411	1120	2133
7T	masks	17_slice002_frame011-mask.png	238440	1514	1710
7T	masks	17_slice002_frame012-mask.png	238337	1964	1363
7T	masks	17_slice002_frame013-mask.png	238265	1783	1616
7T	masks	17_slice002_frame014-mask.png	238111	1863	1690
7T	masks	17_slice002_frame015-mask.png	237903	2232	1529
7T	masks	17_slice002_frame016-mask.png	237938	2217	1509
7T	masks	17_slice002_frame017-mask.png	237806	2327	1531
7T	masks	17_slice002_frame018-mask.png	237824	2296	1544
7T	masks	17_slice002_frame019-mask.png	238022	1977	1665
7T	masks	17_slice002_frame020-mask.png	238164	2087	1413
7T	masks	17_slice002_frame021-mask.png	237834	2193	1637
7T	masks	17_slice002_frame022-mask.png	237846	2063	1755
7T	masks	17_slice002_frame023-mask.png	237823	2291	1550
7T	masks	17_slice002_frame024-mask.png	237809	2481	1374
7T	masks	17_slice003_frame000-mask.png	235853	3596	2215
7T	masks	17_slice003_frame001-mask.png	235705	3840	2119
7T	masks	17_slice003_frame002-mask.png	235799	3735	2130
7T	masks	17_slice003_frame003-mask.png	235967	3325	2372
7T	masks	17_slice003_frame004-mask.png	236245	3166	2253
7T	masks	17_slice003_frame005-mask.png	236617	2619	2428
7T	masks	17_slice003_frame006-mask.png	237032	2235	2397
7T	masks	17_slice003_frame007-mask.png	237402	2010	2252
7T	masks	17_slice003_frame008-mask.png	237379	1510	2775
7T	masks	17_slice003_frame009-mask.png	237127	1541	2996
7T	masks	17_slice003_frame010-mask.png	236646	1788	3230
7T	masks	17_slice003_frame011-mask.png	236688	2125	2851
7T	masks	17_slice003_frame012-mask.png	236978	2301	2385
7T	masks	17_slice003_frame013-mask.png	237090	2771	1803
7T	masks	17_slice003_frame014-mask.png	236748	2989	1927
7T	masks	17_slice003_frame015-mask.png	236318	3430	1916
7T	masks	17_slice003_frame016-mask.png	235926	3594	2144
7T	masks	17_slice003_frame017-mask.png	235796	3683	2185
7T	masks	17_slice003_frame018-mask.png	235636	3581	2447
7T	masks	17_slice003_frame019-mask.png	236118	3576	1970
7T	masks	17_slice003_frame020-mask.png	235767	3817	2080
7T	masks	17_slice003_frame021-mask.png	235820	3635	2209
7T	masks	17_slice003_frame022-mask.png	236175	3387	2102
7T	masks	17_slice003_frame023-mask.png	236141	3538	1985
7T	masks	17_slice003_frame024-mask.png	236053	3630	1981
7T	masks	17_slice004_frame000-mask.png	235068	4066	2530
7T	masks	17_slice004_frame001-mask.png	234956	4217	2491
7T	masks	17_slice004_frame002-mask.png	235052	4035	2577
7T	masks	17_slice004_frame003-mask.png	235101	3996	2567
7T	masks	17_slice004_frame004-mask.png	235665	3638	2361
7T	masks	17_slice004_frame005-mask.png	235809	3393	2462
7T	masks	17_slice004_frame006-mask.png	236252	2696	2716
7T	masks	17_slice004_frame007-mask.png	236381	2565	2718
7T	masks	17_slice004_frame008-mask.png	236222	2342	3100
7T	masks	17_slice004_frame009-mask.png	236188	2401	3075
7T	masks	17_slice004_frame010-mask.png	236252	2779	2633
7T	masks	17_slice004_frame011-mask.png	236286	2808	2570
7T	masks	17_slice004_frame012-mask.png	236218	3064	2382
7T	masks	17_slice004_frame013-mask.png	235955	3753	1956
7T	masks	17_slice004_frame014-mask.png	235582	3980	2102
7T	masks	17_slice004_frame015-mask.png	235354	4096	2214
7T	masks	17_slice004_frame016-mask.png	235362	4160	2142
7T	masks	17_slice004_frame017-mask.png	235797	3921	1946
7T	masks	17_slice004_frame018-mask.png	235893	3949	1822
7T	masks	17_slice004_frame019-mask.png	235701	3883	2080
7T	masks	17_slice004_frame020-mask.png	235734	3867	2063
7T	masks	17_slice004_frame021-mask.png	235741	3789	2134
7T	masks	17_slice004_frame022-mask.png	235595	3885	2184
7T	masks	17_slice004_frame023-mask.png	235462	4100	2102
7T	masks	17_slice004_frame024-mask.png	235381	4293	1990
7T	masks	17_slice005_frame000-mask.png	234603	4670	2391
7T	masks	17_slice005_frame001-mask.png	234412	4671	2581
7T	masks	17_slice005_frame002-mask.png	234523	4547	2594
7T	masks	17_slice005_frame003-mask.png	234728	4314	2622
7T	masks	17_slice005_frame004-mask.png	235036	3897	2731
7T	masks	17_slice005_frame005-mask.png	235506	3430	2728
7T	masks	17_slice005_frame006-mask.png	235590	3292	2782
7T	masks	17_slice005_frame007-mask.png	235901	2677	3086
7T	masks	17_slice005_frame008-mask.png	235815	2661	3188
7T	masks	17_slice005_frame009-mask.png	235976	2674	3014
7T	masks	17_slice005_frame010-mask.png	236023	3104	2537
7T	masks	17_slice005_frame011-mask.png	236013	3081	2570
7T	masks	17_slice005_frame012-mask.png	235788	3493	2383
7T	masks	17_slice005_frame013-mask.png	235482	4127	2055
7T	masks	17_slice005_frame014-mask.png	235236	4208	2220
7T	masks	17_slice005_frame015-mask.png	234982	4126	2556
7T	masks	17_slice005_frame016-mask.png	234775	4382	2507
7T	masks	17_slice005_frame017-mask.png	234863	4521	2280
7T	masks	17_slice005_frame018-mask.png	234820	4244	2600
7T	masks	17_slice005_frame019-mask.png	235099	4400	2165
7T	masks	17_slice005_frame020-mask.png	235065	4231	2368
7T	masks	17_slice005_frame021-mask.png	234886	4198	2580
7T	masks	17_slice005_frame022-mask.png	235352	4248	2064
7T	masks	17_slice005_frame023-mask.png	235117	4357	2190
7T	masks	17_slice005_frame024-mask.png	234731	4847	2086
7T	masks	17_slice006_frame000-mask.png	233887	5103	2674
7T	masks	17_slice006_frame001-mask.png	233866	4966	2832
7T	masks	17_slice006_frame002-mask.png	233763	4934	2967
7T	masks	17_slice006_frame003-mask.png	234164	4939	2561
7T	masks	17_slice006_frame004-mask.png	234596	4507	2561
7T	masks	17_slice006_frame005-mask.png	234937	4053	2674
7T	masks	17_slice006_frame006-mask.png	235396	3194	3074
7T	masks	17_slice006_frame007-mask.png	235595	2997	3072
7T	masks	17_slice006_frame008-mask.png	235458	3313	2893
7T	masks	17_slice006_frame009-mask.png	235567	3235	2862
7T	masks	17_slice006_frame010-mask.png	235439	3601	2624
7T	masks	17_slice006_frame011-mask.png	235445	3879	2340
7T	masks	17_slice006_frame012-mask.png	235185	4154	2325
7T	masks	17_slice006_frame013-mask.png	234866	4600	2198
7T	masks	17_slice006_frame014-mask.png	234569	4824	2271
7T	masks	17_slice006_frame015-mask.png	234230	5098	2336
7T	masks	17_slice006_frame016-mask.png	234302	4920	2442
7T	masks	17_slice006_frame017-mask.png	234275	5060	2329
7T	masks	17_slice006_frame018-mask.png	234465	4998	2201
7T	masks	17_slice006_frame019-mask.png	234598	4735	2331
7T	masks	17_slice006_frame020-mask.png	234388	4991	2285
7T	masks	17_slice006_frame021-mask.png	234303	4953	2408
7T	masks	17_slice006_frame022-mask.png	234226	5013	2425
7T	masks	17_slice006_frame023-mask.png	234149	5040	2475
