image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
1139-frame029-slice001.png	1139	own_masks	ukbb_masks	47826	53	25	0	752	172	34	20	270
554-frame029-slice000.png	554	own_masks	ukbb_masks	49152	0	0	0	0	0	0	0	0
98-frame006-slice008.png	98	own_masks	ukbb_masks	48479	0	34	0	255	54	44	6	280
98-frame022-slice000.png	98	own_masks	ukbb_masks	47524	0	81	0	996	82	24	13	432
554-frame024-slice003.png	554	own_masks	ukbb_masks	46759	0	0	0	1429	202	219	0	543
98-frame005-slice003.png	98	own_masks	ukbb_masks	47222	0	96	0	1131	68	10	14	611
528-frame024-slice003.png	528	own_masks	ukbb_masks	47136	0	16	0	1228	179	109	0	484
98-frame010-slice003.png	98	own_masks	ukbb_masks	47403	0	87	0	932	168	9	0	553
98-frame013-slice010.png	98	own_masks	ukbb_masks	49152	0	0	0	0	0	0	0	0
71-frame008-slice008.png	71	own_masks	ukbb_masks	48239	0	50	0	412	25	55	9	362
761-frame029-slice009.png	761	own_masks	ukbb_masks	48717	0	91	5	118	0	66	63	92
554-frame011-slice001.png	554	own_masks	ukbb_masks	49152	0	0	0	0	0	0	0	0
447-frame012-slice001.png	447	own_masks	ukbb_masks	49152	0	0	0	0	0	0	0	0
447-frame012-slice002.png	447	own_masks	ukbb_masks	47589	0	31	0	737	149	62	9	575
761-frame029-slice007.png	761	own_masks	ukbb_masks	48365	0	58	0	432	56	65	14	162
98-frame005-slice001.png	98	own_masks	ukbb_masks	47628	0	83	0	862	61	10	4	504
98-frame007-slice002.png	98	own_masks	ukbb_masks	47437	0	46	0	879	140	37	2	611
528-frame003-slice003.png	528	own_masks	ukbb_masks	47134	0	12	0	1211	161	118	3	513
98-frame021-slice006.png	98	own_masks	ukbb_masks	47776	0	50	0	876	56	7	10	377
447-frame025-slice008.png	447	own_masks	ukbb_masks	48678	0	6	0	269	44	37	8	110
940-frame018-slice009.png	940	own_masks	ukbb_masks	49152	0	0	0	0	0	0	0	0
447-frame012-slice006.png	447	own_masks	ukbb_masks	47853	0	68	0	504	179	47	3	498
940-frame029-slice007.png	940	own_masks	ukbb_masks	48356	0	1	0	419	36	71	10	259
554-frame018-slice004.png	554	own_masks	ukbb_masks	46902	0	6	0	1409	165	117	0	553
98-frame024-slice004.png	98	own_masks	ukbb_masks	47221	0	114	0	1244	78	27	9	459
940-frame012-slice008.png	940	own_masks	ukbb_masks	48723	0	24	0	71	24	66	21	223
71-frame029-slice005.png	71	own_masks	ukbb_masks	47370	0	19	0	1148	142	144	2	327
98-frame000-slice006.png	98	own_masks	ukbb_masks	47690	0	30	0	908	126	67	2	329
554-frame018-slice003.png	554	own_masks	ukbb_masks	46794	0	0	0	1411	151	211	0	585
98-frame025-slice001.png	98	own_masks	ukbb_masks	47134	0	41	0	1235	135	70	6	531
98-frame002-slice003.png	98	own_masks	ukbb_masks	46976	0	27	0	1384	87	47	0	631
1139-frame008-slice007.png	1139	own_masks	ukbb_masks	48493	0	15	0	261	67	55	2	259
