pid	X	Y	pixelSpacingX	pixelSpacingY	sliceSpacing	scaleFactor
983	192	256	1.40625	1.40625	10.0	1.0
853	218	256	1.40625	1.40625	10.02	1.0
986	192	256	1.40625	1.40625	10.0	1.0
862	230	256	1.484375	1.484375	10.0	1.0
870	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
878	192	256	1.484375	1.484375	8.0	1.0
719	192	256	1.40625	1.40625	10.0	0.5
796	192	256	1.40625	1.40625	10.0	0.5
736	192	256	1.40625	1.40625	10.0	0.5
1033	192	256	1.40625	1.40625	10.0	1.0
1130	192	256	1.5625	1.5625	10.0	1.0
737	192	256	1.40625	1.40625	10.0	0.5
860	192	256	1.40625	1.40625	10.0	1.0
973	192	256	1.40625	1.40625	10.0	1.0
1098	256	192	1.40625	1.40625	9.2	1.0
987	192	256	1.40625	1.40625	10.0	1.0
946	185	256	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
740	192	256	1.25	1.25	8.0	1.0
1065	192	256	1.40625	1.40625	10.0	0.5
731	192	256	1.40625	1.40625	10.0	0.5
1088	192	256	1.40625	1.40625	10.0	1.0
858	192	256	1.3085937649011674	1.3085937649011674	8.0	0.5714285714285714
1023	256	192	1.40625	1.40625	10.0	1.0
888	256	192	1.40625	1.40625	10.0	0.5
1036	256	192	1.40625	1.40625	10.0	1.0
744	192	256	1.40625	1.40625	10.0	1.0
1005	192	256	1.40625	1.40625	10.0	1.0
1040	192	256	1.5625	1.5625	10.0	1.0
830	192	256	1.484375	1.484375	10.0	1.0
809	218	256	1.40625	1.40625	10.0	1.0
892	192	256	1.640625	1.640625	10.0	1.0
1086	192	256	1.40625	1.40625	10.0	1.0
886	256	192	1.40625	1.40625	9.0	1.0
801	192	256	1.5625	1.5625	10.0	1.0
923	256	192	1.5625	1.5625	10.0	1.0
811	192	256	1.5625	1.5625	10.0	1.0
1096	192	256	1.40625	1.40625	10.0	1.0
936	218	256	1.40625	1.40625	10.0	1.0
1009	192	256	1.3085937649011674	1.3085937649011674	10.0	0.5714285714285714
711	256	192	1.0546874552965237	1.0546874552965237	7.98	0.6153846153846154
1103	192	256	1.40625	1.40625	10.0	1.0
1059	256	192	1.40625	1.40625	9.6	1.0
721_b	192	256	1.40625	1.40625	7.98	0.5
1083	192	256	1.5625	1.5625	10.0	1.0
964	192	256	1.40625	1.40625	10.0	1.0
951	192	256	1.40625	1.40625	10.0	1.0
1072	192	256	1.25	1.25	10.0	1.0
827	192	256	1.5625	1.5625	10.0	1.0
982	218	256	1.40625	1.40625	10.0	1.0
1061	256	192	1.5625	1.5625	10.0	1.0
859	192	256	1.40625	1.40625	10.0	1.0
1134	208	256	1.40625	1.40625	10.0	0.5
730	192	256	1.40625	1.40625	10.0	0.5
962	192	256	1.40625	1.40625	8.7	1.0
1024	192	256	1.40625	1.40625	10.0	0.5
933	256	192	1.5625	1.5625	10.0	1.0
954	192	256	1.953125	1.953125	10.02	1.0
768	256	192	1.5625	1.5625	10.0	1.0
934	256	192	1.40625	1.40625	10.0	1.0
1093	192	256	1.40625	1.40625	8.8	1.0
931	256	192	1.40625	1.40625	10.0	1.0
1090	192	256	1.40625	1.40625	10.0	1.0
1105	192	256	1.40625	1.40625	10.0	1.0
884	184	256	1.40625	1.40625	10.0	0.5
839	192	256	1.40625	1.40625	10.0	1.0
980	192	256	1.5625	1.5625	10.0	1.0
881	192	256	1.40625	1.40625	10.0	1.0
1100	192	256	1.40625	1.40625	10.0	1.0
891	256	192	1.40625	1.40625	10.0	1.0
1077	192	256	1.40625	1.40625	10.0	1.0
1041	218	256	1.40625	1.40625	10.0	1.0
845	256	208	1.296875	1.296875	10.0	0.5
846	192	256	1.40625	1.40625	10.0	1.0
789	192	256	1.03125	1.03125	7.98	0.7272727272727273
1058	192	256	1.40625	1.40625	10.0	1.0
713	208	256	1.40625	1.40625	10.0	0.5
761	192	256	1.40625	1.40625	10.0	1.0
